cake	59	7.27	1.16	5.13	2.26	5.2	2.14	9
cancer	60	1.75	0.97	6.83	2.37	3.33	3.06	25
candy	61	6	1.34	4.1	2.27	5	1.84	16
cane	677	3.58	1.95	4.42	1.87	4.47	2.17	12
cannon	678	5.71	2.39	5.14	2.85	5.48	2.4	7
capable	62	7	1.31	5.6	1.68	5.73	1.98	66
car	551	7.84	1.28	5.64	2.16	6.6	2.1	274
carcass	679	4.21	1.81	5.11	1.79	5.53	1.65	7
carefree	63	7.75	1.36	2.67	2.42	5.33	2.71	9
caress	64	7.58	1.31	4.5	3.32	6.08	1.93	1
cash	503	8.28	0.94	7.08	2.77	6.76	2.31	36
casino	680	6.9	1.79	6.76	1.97	5.14	2.22	2
cat	504	5.33	2.6	4.08	2.32	6.54	2	.
cell	587	3.33	1.93	3.67	2.44	4.12	2.36	65
cellar	681	4.45	1.57	4.3	2.45	4.9	1.94	26
cemetery	65	3.42	1.38	4.45	2.25	4.73	2.05	15
chair	66	5.3	0.95	3.4	1.84	4.7	0.67	66
champ	682	7.22	1.4	6.22	1.48	6.28	1.87	1
champion	67	8.42	1.08	4.83	3.43	6.08	3.45	23
chance	683	6.42	1.61	5.63	2.43	4.74	1.76	131
chaos	684	4.5	2.16	6.3	1.81	4	1.59	17
charm	68	6.67	1.63	5.47	2.42	5.87	1.96	26
cheer	69	7.7	1.38	5.95	2.37	5.55	1.99	8
child	70	6.15	2.23	5.75	1.77	5.35	2.25	213
chin	685	5.36	1.43	3.64	2.11	5.41	1.71	27
chocolate	505	6.8	1.83	4.88	2.67	5.36	2.06	9
christmas	686	7.58	1.61	6.05	2.68	5.37	2.27	27
church	71	5.29	2.67	4.69	3.09	4.62	2.9	348
circle	687	5.3	1.17	3.65	1.93	5.16	1.3	60
circus	72	6.76	1.52	5.38	2.47	5	2.1	7
city	73	5.67	1.5	4.53	2.07	4.53	1.73	393
cliff	553	4.96	2.23	5.88	2.3	5.04	1.84	11
clock	688	4.86	1.73	3.95	2.38	4.59	1.76	20
clothing	74	5.93	2.16	4.15	2.91	5.33	2.06	20
clouds	533	6.42	2.19	3.46	2.28	5.46	1.79	38
clumsy	689	4.06	2.07	4.78	2.29	4.06	1.73	6
coarse	690	4.65	1.09	4.5	1.57	5.05	1.32	10
coast	691	6.06	1.7	4.83	2.46	5.71	1.79	61
cockroach	75	3.73	2.05	5.33	2.66	5.47	2.5	2
coffin	76	3	2.11	4.3	2.79	4.2	2.53	7
coin	692	5.76	2.32	4.48	2.75	5.86	1.96	10
cold	693	3.9	1.94	5.4	1.85	4.65	1.76	171
color	694	7.05	1.65	4.63	2.71	6.32	1.97	141
column	695	5.15	1.04	3.7	2.05	5.25	1.71	71
comedy	77	8	0.95	6.36	2.06	4.82	1.99	39
comfort	696	6.45	2.21	4.35	2.87	5.7	2.08	43
computer	552	6.12	1.92	4.52	2.06	5.08	2.06	13
concentrate	78	4.83	1.11	4.73	1.62	4.82	1.47	11
confident	79	7.73	1.28	6.53	2.5	7.2	2.4	16
confused	80	3.27	0.65	5.55	1.92	4.33	1.61	44
consoled	81	5.71	1.65	4.94	2.02	4.81	1.83	2
contempt	82	4.2	1.87	4.9	0.88	5.5	1.18	15
contents	83	4.73	1.03	4.07	2.28	4.87	1.19	16
context	84	5.2	1.47	4.35	1.87	4.9	0.91	2
controlling	85	4.53	2.26	5.6	2.13	6.07	2.84	23
cook	697	6.05	1.22	4.21	1.72	5.42	1.43	47
cord	698	4.95	1.31	3.84	1.95	5	1.46	6
cork	699	5.16	1.34	3.89	1.94	4.89	0.94	9
corner	700	4.33	1.32	3.62	1.99	3.86	1.85	115
corpse	86	2.5	1.18	4.2	2.53	2.6	1.65	7
corridor	701	4.86	1.28	3.62	2.48	5.1	1.73	17
corrupt	702	4.15	2.54	5.05	2.35	4.9	2.22	8
cottage	87	5.87	0.99	4.2	2.6	4.93	1.58	19
couple	506	6.84	1.77	5.36	2.4	6.08	1.91	122
cow	554	5.72	1.62	3.12	2.13	5.8	1.41	29
coward	703	2.75	1.77	3.9	2.1	2.75	1.52	8
cozy	88	7.53	1.36	3.73	2.34	4.67	2.23	1
crash	89	2.6	1.51	7	2.26	4	2.11	20
crime	704	3.55	2.44	5	2.96	4.68	2.38	34
criminal	705	3.25	1.65	3.86	2.33	3.65	1.73	24
crisis	706	4.17	2.43	4.89	2.79	4.72	1.96	82
crown	90	6.2	1.4	3.4	2.59	5.1	2.13	19
crucify	91	2.53	1.68	5.8	2.98	3.8	2.11	2
crude	707	3.74	1.59	5	2.11	4.84	1.77	15
cruel	92	2.64	2.41	5.27	2.46	4.93	2.79	15
crushed	93	2.83	2.29	5.73	2.69	4.73	3.1	10
crutch	708	3.94	1.63	4.5	1.76	3.67	1.78	1
cuddle	94	7.3	2.15	5.1	2.69	5.75	2.29	.
cuisine	709	6.89	1.64	4.83	1.95	5.5	1.34	1
curious	95	6.8	1.23	5.8	2.1	5.7	1.95	46
curtains	710	5	0.58	3.65	1.98	5.11	1.49	8
custom	96	5.53	1.41	4.67	2.23	4.87	2.03	14
cut	711	3.7	1.89	4.75	2.49	4.9	2.17	192
cute	97	7.24	0.97	6.38	2.16	4.88	2.53	5
cyclone	98	4.35	2.18	6.2	2.95	5.1	2.31	.
dagger	99	4.53	1.81	5.47	2.87	4.47	1.84	1
damage	712	3.7	1.75	5.05	2.26	4.2	1.99	33
dancer	507	6.8	1.53	5.32	2.3	5.64	1.73	31
danger	713	4.56	2.33	7.17	1.65	4.56	2.33	70
dark	714	4.9	1.81	4.48	1.81	4.38	1.72	185
dawn	715	6.1	2.49	4.35	2.78	4.95	2.72	28
daylight	716	6.56	2.28	5.17	2.04	5.61	2.15	15
dazzle	717	7.33	1.06	6.38	2.01	5.19	2.16	1
dead	588	2.48	2.29	5.4	2.84	2.96	2.42	174
death	100	1.69	1.14	4.41	2.87	4.62	2.25	277
debt	101	2.4	1.12	4.33	2.66	3	2.2	13
deceit	718	3.26	1.63	5.63	2.45	4.63	1.89	2
decompose	102	3.95	1.73	4.2	2.4	4.45	1.96	1
decorate	719	6.5	1.36	5	2.68	5.9	2.02	2
defeated	103	2.42	1.5	4.35	2.7	3	2.1	15
defiant	104	4.64	1.86	5.27	2.87	4.91	1.22	3
deformed	720	2.95	1.75	3.62	2.18	4.29	2.43	.
delayed	721	3.15	2.01	5.1	2.17	3.4	1.6	25
delight	105	7.92	1.31	5.73	2.49	5.09	2.02	29
demon	106	3.2	1.61	5.93	3.01	5.07	2.52	9
dentist	589	3.56	2.22	5.6	2.55	3.6	2.04	12
depressed	107	2.33	1.45	4	2.33	2.87	1.68	11
depression	108	2.6	2.21	4.55	3.05	2.9	2.07	24
derelict	722	4.45	1.93	4.1	1.68	4.95	1.73	1
deserter	109	3.53	2.13	4.8	2.31	4.8	2.31	.
desire	508	7.72	1.31	7.24	1.92	6.2	1.94	79
despairing	110	2.93	2.05	5.6	2.41	4.07	2.25	4
despise	111	2.08	1.19	5.86	2.35	5.38	2.4	7
destroy	112	4	2.75	6.3	2.91	6.1	2.42	48
destruction	723	4.78	2.46	6.17	2.53	5.11	2	38
detached	113	3.82	2.04	4.19	2.51	3.73	1.91	12
detail	724	5.73	1.49	4.36	2.36	5.45	1.6	72
detest	114	2.8	1.55	5.8	2.2	5.8	2.1	1
devil	115	2.59	2.12	5.06	2.73	5.82	2.6	25
devoted	116	7.1	1.45	5.7	1.77	4.9	2.64	51
diamond	117	7.92	1.38	5	2.97	5.36	2.76	8
dignified	118	6.82	1.01	3.41	1.97	6.06	2.49	7
dinner	509	7.48	1.19	5.52	2.4	6.48	1.78	91
diploma	119	7.64	1.12	5.64	2.25	6.42	2.47	.
dirt	725	4.41	1.92	3.41	2.34	4.95	2.36	43
dirty	590	3.88	2.44	5.21	2.75	4.83	2.5	36
disappoint	120	2.6	1.5	4.6	2.59	3.53	2.2	.
disaster	121	2.25	1.33	6.05	2.54	3.65	1.9	26
discomfort	726	2.41	1.5	3.73	2.29	3.68	2.57	7
discouraged	122	3	1	4	2.33	3.2	1.52	15
disdainful	123	3.93	1.71	4.67	1.76	4.87	1.81	2
disgusted	124	2.6	1.45	4.47	2.47	4.8	1.66	6
disloyal	125	2.38	1.5	5.82	2.63	4.81	2.46	2
displeased	126	2.76	2.17	4.81	2.4	4.75	1.98	7
distressed	127	2	0.63	6.42	2.15	5	1.9	4
disturb	727	3.67	1.75	5.72	1.96	4.06	1.35	10
diver	510	6.6	1.63	4.96	2.49	5.2	1.91	1
divorce	128	2.4	1.85	5.3	2.98	3.75	2.47	29
doctor	129	4.67	2.29	5.53	2.64	5.07	2.63	100
dog	511	7.68	1.65	5.4	2.99	6.44	2.08	75
doll	728	5.05	1.65	3.37	2.11	4.16	2.19	10
dollar	729	7.24	2.05	6.43	2.27	6.86	2.2	46
door	130	5.16	1.5	4.32	2.38	4.79	1.58	312
dove	730	6.45	1.47	4.55	1.79	6	1.62	4
dreadful	131	2.38	2	5.71	2.69	5.06	1.84	10
dream	132	6.47	1.65	4.42	2.5	4.84	1.74	64
dreary	731	3.24	1.45	3.05	2.13	3.81	1.6	6
