cabinet	675	5.00	0.31	3.57	1.91	4.76	1.55	17
cake	59	7.26	1.36	4.91	2.48	5.13	2.03	9
cancer	60	1.41	0.80	6.26	3.01	3.45	3.01	25
candy	61	6.96	2.47	4.96	2.47	5.58	1.96	16
cane	677	4.36	1.62	4.00	2.00	4.09	1.77	12
cannon	678	4.05	1.64	4.25	2.83	4.85	2.18	7
capable	62	7.26	1.45	4.74	2.26	6.96	1.80	66
car	551	7.62	1.92	6.81	1.77	7.35	2.00	274
carcass	679	2.59	1.71	4.59	2.30	4.36	1.76	7
carefree	63	7.45	1.40	4.82	2.79	5.96	2.43	9
caress	64	7.94	1.11	5.39	2.89	5.73	2.23	1
cash	503	8.46	1.07	7.65	1.50	7.15	2.49	36
casino	680	6.71	1.55	6.27	2.27	5.10	2.14	2
cat	504	6.08	2.26	4.65	2.17	5.81	2.08	.
cell	587	4.27	1.34	4.46	1.90	4.12	1.93	65
cellar	681	4.21	1.79	4.46	2.28	4.46	1.28	26
cemetery	65	2.22	1.24	5.00	2.88	4.05	2.19	15
chair	66	5.00	1.00	3.07	1.77	4.52	1.82	66
champ	682	7.15	2.31	5.85	2.94	7.12	2.05	1
champion	67	8.45	0.83	6.29	2.98	6.68	2.60	23
chance	683	5.72	1.86	5.40	2.55	4.58	2.08	131
chaos	684	3.86	2.53	7.00	2.25	3.73	2.25	17
charm	68	6.83	1.58	5.00	2.19	5.41	2.40	26
cheer	69	8.50	0.76	6.30	2.58	6.45	2.09	8
child	70	8.00	1.12	5.35	2.74	4.85	2.37	213
chin	685	5.20	1.11	2.95	1.82	5.10	1.21	27
chocolate	505	6.96	1.99	5.69	2.41	5.00	1.90	9
christmas	686	7.96	1.51	6.42	2.52	5.38	2.00	27
church	71	6.81	1.94	4.16	2.10	5.20	2.16	348
circle	687	6.00	1.27	4.24	2.19	4.90	1.61	60
circus	72	7.75	2.00	6.45	2.65	5.70	2.36	7
city	73	6.26	1.25	5.70	2.74	6.52	1.93	393
cliff	553	4.38	1.92	6.62	1.98	3.69	2.19	11
clock	688	5.45	1.28	4.10	2.77	4.75	2.22	20
clothing	74	6.88	1.59	5.12	2.86	5.33	2.22	20
clouds	533	5.96	2.20	3.15	1.91	5.00	1.52	38
clumsy	689	3.96	2.36	5.46	2.49	3.73	1.85	6
coarse	690	4.45	1.68	4.14	1.90	4.95	1.56	10
coast	691	5.92	2.00	4.42	2.23	5.65	1.70	61
cockroach	75	2.38	2.03	6.47	2.81	4.41	2.59	2
coffin	76	2.41	1.92	5.28	2.79	4.03	2.58	7
coin	692	6.30	1.49	4.10	2.22	5.45	1.36	10
