Word	Havg	StDev	FreqListRank	TwitterRank
ˆ⌣ˆ	225	7.30	1.6690	--	2247
hihihihi	226	7.30	1.2817	--	5660
cintamu	227	7.30	1.3132	5983	1615
terimakasih	228	7.30	1.2657	789	1394
pahlawan	229	7.30	1.4178	871	5812
indonesia	230	7.30	1.6690	5735	244
valentine	231	7.28	1.1613	4095	--
fresh	232	7.28	1.1436	--	5870
nyaman	233	7.28	1.2296	1066	1580
perkawinan	234	7.28	1.1613	2695	--
smart	235	7.28	1.2461	--	4800
senyummu	236	7.28	1.1959	--	5539
menciummu	237	7.28	0.9906	5490	--
kencan	238	7.28	1.0309	1365	5873
makasiih	239	7.28	1.1959	--	5631
menguntungkan	240	7.28	1.1436	3512	--
kemuliaan	241	7.28	1.1959	4425	--
kecantikan	242	7.28	1.0110	4138	4073
congrats	243	7.26	1.1031	--	3924
pujian	244	7.26	1.1214	3854	--
xixixi	245	7.26	1.4259	--	5389
refreshing	246	7.26	1.1920	--	6049
ciuman	247	7.26	1.3219	1545	3757
comedy	248	7.26	1.2747	--	5042
sweet	249	7.26	1.1031	3372	1350
persahabatan	250	7.26	1.1214	2844	2487
favorit	251	7.26	1.1572	2337	2662
weekend	252	7.24	1.4078	--	1879
piknik	253	7.24	1.1350	6161	--
thanks	254	7.24	1.0984	1782	288
kebanggaan	255	7.24	1.1528	4556	--
bebas	256	7.24	1.2048	684	1456
malaikat	257	7.24	1.1528	1800	2972
kejujuran	258	7.24	1.2867	--	3212
ketulusan	259	7.24	1.1877	--	3494
hahah	260	7.24	1.3786	--	392
sahabat	261	7.24	1.1350	1502	532
special	262	7.22	1.2002	--	1367
pacar	263	7.22	1.1301	944	200
keren	264	7.22	1.2002	714	437
thankyou	265	7.22	1.1119	--	2363
syukurlah	266	7.22	1.2824	3075	--
indah	267	7.22	1.2824	361	365
penghargaan	268	7.22	1.0554	2933	5666
enak	269	7.22	1.0934	859	179
ahahha	270	7.22	1.6938	--	5297
party	271	7.22	1.2171	--	2234
hiburan	272	7.20	1.0690	4070	5814
ganteng	273	7.20	1.1249	5825	450
thank	274	7.20	1.1249	4043	921
memuaskan	275	7.20	1.0302	4742	3335
tersenyumlah	276	7.20	0.9258	--	5714
champions	277	7.20	1.4983	--	4093
ahaha	278	7.20	1.6903	--	554
tertinggi	279	7.20	1.3851	2696	--
bravo	280	7.20	1.1606	3270	--
handsome	281	7.20	1.1429	--	4353
anniversary	282	7.20	1.5386	--	2965
нªª˘°˘нªª˘°˘нªª˘°˘	283	7.20	2.0102	--	3089
sayangi	284	7.20	1.2778	--	3174
menghibur	285	7.18	1.0039	3821	5382
sehati	286	7.18	1.1551	--	4923
amiiin	287	7.18	1.0240	--	4490
cheers	288	7.18	1.2887	3707	--
perayaan	289	7.18	1.2237	3359	--
berdoa	290	7.18	1.1373	1329	1834
orgasme	291	7.18	1.5868	5128	--
alhamdulilah	292	7.18	1.7106	--	1761
jodoh	293	7.18	1.2070	--	1587
lancar	294	7.18	1.0437	3190	1108
kocak	295	7.18	1.0437	--	2105
mother	296	7.18	1.5609	6064	2932
sahabatku	297	7.18	1.1373	4006	--
enjoy	298	7.18	1.0039	--	2404
ultah	299	7.16	1.4479	--	1049
aman	300	7.16	1.2349	342	2209
kenyamanan	301	7.16	1.1132	5630	--
tulus	302	7.16	1.2993	--	1012
lega	303	7.16	1.2014	4246	4673
peace	304	7.16	1.1493	--	2823
wakaka	305	7.16	1.6704	--	3251
perhiasan	306	7.16	1.1132	4136	--
ibadah	307	7.16	1.4337	--	2902
gift	308	7.16	1.2993	--	4102
suka	309	7.16	1.1669	144	80
impian	310	7.14	1.2456	2656	2930
asiik	311	7.14	1.2456	--	4391
pretty	312	7.14	1.1608	3642	4878
mesra	313	7.14	1.3095	--	4543
baik	314	7.14	1.1068	32	97
wisata	315	7.14	1.1608	--	4218
kuat	316	7.14	1.1068	420	572
mengesankan	317	7.14	1.0692	2506	--
memenangkan	318	7.14	1.2456	1418	--
goal	319	7.14	1.4429	--	4595
makan2	320	7.14	1.1954	--	5117
selamat	321	7.14	1.0304	133	137
menyukaiku	322	7.14	1.1608	3908	--
peluk	323	7.14	1.1068	5988	2479
akrab	324	7.14	1.2291	3245	5920
mencium	325	7.12	1.0428	1291	--
menciumnya	326	7.12	1.0428	4283	--
syukuri	327	7.12	1.2558	--	6140
seneng	328	7.12	1.6243	--	511
cerah	329	7.12	1.1364	2864	2279
menciumku	330	7.12	1.0428	4502	--
terkenal	331	7.12	1.3037	1077	3349
merayakan	332	7.12	1.3037	2586	3444
tunangan	333	7.12	1.1542	4461	--
cakep	334	7.12	1.2229	--	1206
semangat	335	7.12	1.1364	1661	301
amiin	336	7.12	1.1542	--	2083
famous	337	7.12	1.1364	--	6175
kebaikan	338	7.12	1.1364	1757	1734
honey	339	7.12	1.0428	2781	4921
amien	340	7.12	1.3037	--	2630
karunia	341	7.12	1.2061	5489	--
