Word	Havg	StDev	FreqListRank	TwitterRank
美	295	6.68	1.2027	--	3529
재밌는	296	6.68	1.0388	1476	2565
히히히	297	6.68	1.2688	--	3927
박지성	298	6.68	1.2688	--	5763
행운을	299	6.68	1.1328	1290	5976
강추	300	6.68	1.3005	--	4311
좋네	301	6.68	1.1328	--	3918
응ㅋㅋㅋ	302	6.68	1.1683	--	3477
기적이	303	6.68	1.2196	1428	--
유재석	304	6.68	1.3915	--	5188
좋겠습니다	305	6.68	1.1507	--	2112
여행을	306	6.68	1.3161	3139	--
제주	307	6.66	1.2875	--	2363
잘했다	308	6.66	1.2875	2205	--
엄마처럼	309	6.66	1.4086	4887	--
휴일	310	6.66	1.4930	2721	--
여자친구	311	6.66	1.2715	--	5264
멋져	312	6.66	1.4514	2777	4887
웃으며	313	6.66	1.1886	--	3424
안전해요	314	6.66	1.1713	4620	--
매력	315	6.66	1.1886	--	5886
무지개를	316	6.66	1.1886	871	--
착하고	317	6.66	1.0616	1600	4906
음악	318	6.66	1.2875	450	1617
절친한	319	6.64	0.9638	4645	--
잘한다	320	6.64	1.1563	--	5967
베스트	321	6.64	1.3056	--	1777
특별합니다	322	6.64	1.2081	3640	--
감사의	323	6.64	1.0053	--	4193
선물을	324	6.64	1.1386	--	419
키스	325	6.64	1.3211	1810	--
신선한	326	6.64	1.2249	2453	--
파티	327	6.64	1.5748	637	4304
어린이	328	6.64	1.2249	--	3633
힘내라	329	6.64	1.1739	--	3675
현명한	330	6.64	0.9848	2634	5736
기뻐하소서	331	6.64	1.2249	2044	--
자유를	332	6.64	1.1021	--	1647
헤헤	333	6.64	1.1386	--	338
연인	334	6.62	1.1409	1956	--
Merry	335	6.62	1.1761	--	913
대단한	336	6.62	1.0079	2684	1747
ㅋㅋㅋ	337	6.62	1.2919	--	4
다행이다	338	6.62	0.9666	--	2194
알콩달콩	339	6.62	1.2919	5367	--
좋은거야	340	6.62	1.1586	524	--
ㅋㅋㅋㅋ	341	6.62	1.3076	--	25
드립니다^^	342	6.62	1.2436	--	1603
화려한	343	6.62	1.0476	--	5812
부모님	344	6.60	1.5386	2267	3251
가족	345	6.60	1.3702	680	2591
like	346	6.60	1.2122	--	1114
포옹	347	6.60	1.1249	2886	--
잘했어	348	6.60	1.3702	683	--
산타	349	6.60	1.3851	--	3310
찰떡궁합이겠어	350	6.60	1.1952	4517	--
멋지게	351	6.60	1.3702	--	4010
맛있는거	352	6.60	1.0880	--	3492
토요일	353	6.58	1.3262	1311	1569
무한도전	354	6.58	1.3716	--	2527
조아	355	6.58	1.2469	--	5424
커플	356	6.58	1.1796	--	3118
매력이	357	6.58	1.0708	--	6278
위대한	358	6.58	1.1445	1001	1814
결혼식을	359	6.58	1.1445	1990	--
하늘	360	6.58	1.3107	--	4520
좋지	361	6.58	1.2137	745	1260
새해엔	362	6.58	1.2792	--	4493
존경을	363	6.58	1.0897	3284	--
완벽한	364	6.58	1.2950	549	1670
새롭게	365	6.58	1.1265	--	2217
스마트	366	6.58	1.3107	--	2420
히힛	367	6.58	1.1265	--	3551
카페라떼	368	6.58	1.1968	--	2725
캐롤	369	6.58	1.2950	--	4517
우리집	370	6.58	1.3566	--	1776
맛난거	371	6.58	1.0120	--	4155
찬성	372	6.58	1.2137	--	4701
기회다	373	6.56	1.1457	3662	--
소중한	374	6.56	1.1095	--	904
